name,quadrant,ring,score,description,community update,movement
Danielohayon/Block-Sparse-Flash-Attention,Kernels,Assess,0.0010528778661675247,面向 Transformer 的块稀疏 FlashAttention 实现，兼顾长序列推理效率与显存占用优化。,在2026年2月3日至3月4日的30天窗口期内，仓库 Danielohayon/Block-Sparse-Flash-Attention 未记录任何活动。无新版本发布、无合并或新建的PR、无打开或关闭的Issue、无有效提交记录，且通过多轮外部搜索未发现任何关联的博客、会议或行业新闻。该仓库在近期处于完全静默状态，可能处于维护暂停、开发停滞或非活跃状态。建议关注者留意后续是否出现新动态，或联系维护者确认项目当前方向。鉴于其技术主题（块稀疏FlashAttention）在AI推理优化领域的重要性，长期无更新可能影响社区参与度与技术演进跟踪。,new
Dao-AILab/flash-attention,Kernels,Assess,1.9549345059047332,提供快速且内存高效的精确注意力实现（IO 感知）的库，用于加速 Transformer 的训练和推理。,尽管 Dao-AILab/flash-attention 仓库在近30天内未发布新版本或合并显著 PR，但外部生态已发生重大进展：FlashAttention-4 于 2026 年 3 月初正式亮相，由 Colfax 和 PyTorch 官方博客详细披露其算法与内核协同优化特性，专为 Hopper 和 Blackwell 架构设计，显著提升异构硬件下的吞吐与效率。该版本已被 sgl-project 等项目快速集成，标志着 FlashAttention 技术进入新一代硬件适配阶段。虽然官方仓库尚未同步更新，但行业共识已明确其作为下一代注意力内核的核心地位。未来趋势将围绕更细粒度的硬件感知调度、动态序列长度支持及与 FlexAttention 等框架的深度整合展开，预示着 FlashAttention 生态正从纯性能优化转向系统级协同设计。社区对 FA4 的快速采纳，也暗示官方仓库后续可能迎来重大更新。,
FindDefinition/cumm,Kernels,Assess,0.26460218132630614,面向 GPU 高性能计算的 CUDA/C++ 元编程库，为稀疏卷积和张量算子提供可复用的底层算子基础。,在2026年2月3日至3月4日的30天窗口期内，FindDefinition/cumm 仓库未出现任何活跃活动。无新提交、无合并的 Pull Request、无新建或更新的 Issue、无新版本发布或标签打标。通过多轮检索确认，仓库的提交历史、问题追踪和发布记录均停滞于2025年及更早，无任何近期技术演进或社区互动迹象。外部动态搜索亦未发现官方博客、会议发言、行业新闻或核心成员公告。该仓库目前处于明显休眠状态，可能因项目优先级调整、依赖迁移（如转向 spconv）或维护者资源转移所致。若该仓库为关键依赖项，建议评估其长期维护可行性，并考虑替代方案。建议监控其 GitHub 主页或联系维护者以确认项目状态。,new
FlagTree/flagtree,Kernels,Assess,0.6120104495015286,智源研究院（FlagAI）开发的统一 AI 编译框架，作为一个 Triton 衍生项目，专注于算子统一表达和对国产 AI 芯片的广泛支持。,近30天内，FlagTree/flagtree项目进入高强度开发阶段，核心进展集中于异构计算后端（Ascend、Iluvatar、Triton）的深度适配与性能优化。多项PR（如#327、#348、#349）表明项目正从“功能实现”转向“架构抽象”与“自动优化”阶段，@auto_pipeline装饰器实现2.18x性能提升是重要里程碑。同时，对SparseFA等稀疏算子的性能目标（8x提升）和vLLM内存问题的修复，显示其正向生产级AI推理框架演进。尽管无新版本发布，但密集的PR与关键Bug修复（如矩阵乘法错误、Ascend编译问题）表明开发活跃度高，社区响应迅速。未来趋势聚焦于自动优化引擎、跨硬件统一抽象与稀疏计算优化，具备成为高性能AI编译栈的潜力。当前缺乏外部曝光，但内部技术演进清晰有力。,
MoonshotAI/MoBA,Kernels,Assess,0.19242469410748597,MoonshotAI 提出的注意力优化实现，面向长上下文场景提升大模型推理吞吐与内存效率。,在近30天内，MoonshotAI/MoBA 仓库虽无新版本发布或合并的代码变更，但社区活跃度集中于用户提问与功能建议，体现出项目正处于从研究原型向工程化落地过渡的关键阶段。Issue #40、#11 和 #4 分别指向推理框架集成、模型分发渠道和模型兼容性三大核心痛点，反映出开发者对 MoBA 实际部署的迫切需求。这些非代码类交互构成了当前最实质性的进展，表明项目正吸引真实用户参与，其价值已超越论文层面。尽管缺乏官方动态或外部报道，但社区反馈已清晰勾勒出未来版本的演进方向：提升与主流工具链的互操作性、完善模型发布机制、扩展对主流模型架构的支持。建议团队优先响应这些 Issue，发布轻量级集成指南或预编译模型，以加速生态建设。当前状态显示项目具备良好社区基础，下一步应从“研究展示”转向“可用交付”。,new
NVIDIA/cutile-python,Kernels,Assess,0.5599991180764656,NVIDIA 推出的 Python 库，旨在将复杂的 CUDA 编程抽象为类 NumPy 的简单语法，降低高性能计算的门槛，被定位为下一代 GPU 编程标准。,近30天内，NVIDIA/cutile-python 在性能优化与功能扩展方面取得显著进展，尤其在多 GPU 通信（PR #62）和 FlashAttention 支持（PR #52）上填补了关键空白。同时，B200 架构下的严重 Bug（#71）和多个编译/工具链问题被集中报告，表明项目正快速进入真实部署阶段。外部影响力显现，NVIDIA 官方博客与 arXiv 论文均首次公开引用该库，标志着其从内部工具向社区级框架演进。Roadmap 中的 PTX 注入、NCCL 集成、NVSHMEM 支持等方向清晰，预示其将深度融入下一代 AI 编译栈。当前缺乏正式 Release，但活跃的 PR 与高优先级 Issue 显示开发节奏紧凑，未来有望成为 PyTorch/CUDA 生态中重要的底层张量编排工具。建议优先解决 B200 挂死问题并推动首个稳定版本发布。,
apache/tvm,Kernels,Assess,1.7227454298830187,一个开源的端到端深度学习编译器栈，用于将 AI 模型高效部署到各种硬件后端，包括 CPU、GPU 和专用加速器。,在2026年2月3日至3月4日期间，Apache TVM 项目活跃度集中于新功能开发与问题修复，共创建70余条PR和4条Issue，显示社区持续活跃。唯一重大版本v0.23.0于2月1日发布，包含动态形状支持、ONNX opset 19升级和CUDA内核优化等关键改进，为模型部署性能带来显著提升。尽管PR创建频繁，但近30天内无合并PR，表明多数变更仍处于审查或测试阶段。Issue主要聚焦于Metal后端兼容性、CI稳定性及类型推断错误等具体问题，反映出对边缘设备和生产环境稳定性的关注。外部动态方面，未发现官方博客、会议演讲或行业新闻提及TVM，项目进展主要依赖GitHub内部协作。未来趋势可能围绕v0.23.0的稳定性验证与更多硬件后端支持展开，但缺乏公开路线图信息。整体来看，项目处于稳健迭代期，社区贡献活跃，但对外传播与生态联动较弱。,
apache/tvm-ffi,Kernels,Assess,0.8295983217545848,Apache TVM 的外部函数接口（FFI）组件，定义了跨语言与跨框架的交互标准，支持 Python 与底层编译运行时的无缝对接。,近30天内，apache/tvm-ffi 项目围绕 v0.1.9 版本完成关键迭代，修复了影响稳定性的 NPE 与内存安全漏洞，显著提升运行时可靠性。发布流程通过两次投票（#473、#483）完成，体现社区治理规范。PR #495 与 #481 为版本发布提供直接支持，构建性能优化（#487）改善开发者体验。同时，架构层面的 RFC 提案（#459）和 CUDA 版本支持需求（#430）预示未来将加强类型系统与异构硬件适配能力。外部动态方面，仅有一条邮件列表记录佐证核心开发活动，表明项目仍以内部协作为主，公开传播较弱。整体趋势显示项目正从功能扩展转向稳定性与架构演进并重的阶段，社区活跃度集中于发布与缺陷修复，长期规划已初现轮廓。,
facebookexperimental/triton,Kernels,Assess,0.9691538957531605,Facebook (Meta) 维护的 Triton 编译器实验性分支，用于探索和验证如 TLX 语言扩展与底层 IR 优化等前沿特性。,在2026年2月3日至3月4日期间，facebookexperimental/triton 项目活跃度集中于代码贡献，共合并超过40个PR，涵盖性能优化、内存安全修复与新数据类型支持等核心方向。其中，FP8支持、内核调度优化和IR类型推断改进是主要技术亮点，显示项目持续深化对AI加速器底层编译的精细化控制能力。同时，一个关于Windows平台支持的Issue被提出，反映出社区对跨平台兼容性的潜在需求。尽管贡献密集，但近30天内无新版本发布，也未见官方博客、会议演讲或行业新闻等外部动态，表明当前阶段以工程迭代为主，尚未进入重大发布或生态推广周期。整体趋势显示项目处于稳定演进期，技术聚焦于性能与稳定性，未来若能发布版本并配套文档，将有助于提升社区影响力。,
facebookresearch/CUTracer,Kernels,Assess,0.5908869983926928,Facebook Research 开发的 CUDA 内核动态分析工具，支持流式分析与数据竞争检测，用于深入调试 GPU 并发性能问题。,CUTracer 在近30天内完成从开发到首次稳定发布的关键跃迁，v0.1.0版本的发布标志着项目进入成熟阶段，核心功能如Blackwell指令支持、TMA追踪和CLI重构均已落地，显著提升GPU内核分析能力。多个高价值PR（如#152、#148、#165）持续扩展追踪维度，涵盖AI内核与内存架构层面，体现项目在系统级性能分析领域的深度。同时，对predicate寄存器等底层细节的修复与增强（PR #160、Issue #130）表明团队注重稳定性与准确性。尽管尚未公开Roadmap，但活跃的PR提交与功能迭代暗示未来将向更广泛的GPU架构与AI框架集成演进。目前无外部动态，但项目在GitHub生态内已形成清晰的技术演进路径，具备成为GPU追踪工具链重要组件的潜力。,
fla-org/flash-linear-attention,Kernels,Assess,0.9180109776660439,高效线性注意力算子库，提供多种 Flash/Linear Attention 变体以加速长序列训练与推理。,近30天内，flash-linear-attention 项目虽无新版本发布，但开发活跃度极高，共创建17个新 PR，主要围绕 KDA、GatedDeltaNet 和 Mamba-2 的性能优化与稳定性修复。关键进展包括：修复了影响分布式训练和 checkpoint 加载的致命 NaN 问题（PR #753、#754），并首次实现单卡内上下文并行（PR #743），大幅降低长序列推理内存开销，显著提升部署可行性。社区需求方面，用户明确提出对 Mamba-3 和 fp16 支持的期待，预示项目正从“高效实现现有架构”向“支持下一代模型”演进。代码质量持续提升，大量 PR 专注于内核融合、缓存优化、非连续张量支持和跨平台兼容性（如 AMD GPU），体现出工程成熟度的稳步提升。尽管缺乏外部宣传，但内部迭代密集且精准，表明团队正聚焦于构建工业级、可落地的线性注意力基础设施，未来趋势将更贴近实际部署需求，而非单纯算法创新。,new
flagos-ai/FlagGems,Kernels,Assess,1.1241421673247476,FlagOS 生态下的 AI 算子库，提供了一系列针对多硬件平台优化的高性能算子，旨在增强大模型在异构算力上的表现。,在近30天内，FlagGems 项目以 v4.2.1.rc.0 发布候选版本为核心进展，围绕算子完善与稳定性提升展开密集开发。新增 `torch.svd` 支持显著增强数学运算能力，同时通过每日测试任务强化了自动化质量保障体系。关键 Bug 修复聚焦于 `addcmul` 广播逻辑与设备类型推断问题，体现出对生产环境兼容性的高度重视。尽管 PR 与 Issue 活跃度极高（超70个创建），但缺乏明确的路线图披露，未来演进方向尚不透明。外部生态动态为零，未见官方博客、会议分享或行业报道，项目仍主要依赖 GitHub 内部协作推进。整体呈现“高开发密度、低外部曝光”的特征，适合关注底层算子优化的开发者持续跟进，但社区影响力仍待提升。,
flashinfer-ai/flashinfer,Kernels,Assess,1.7098608246981204,面向大模型推理的高性能内核库，提供注意力、采样与 KV 缓存等关键算子加速能力。,在近30天内，FlashInfer 项目迎来关键版本 v0.6.5，显著增强对 MoE 架构的支持，标志着其从通用注意力加速向稀疏模型推理场景的深度拓展。该版本不仅修复了多个稳定性问题，还通过内存布局优化进一步提升了 A100/H100 上的推理吞吐，巩固了其在高效推理引擎领域的竞争力。与此同时，项目方通过主办 MLSys 2026 的 AI Kernel Generation Contest，积极构建开发者生态，推动内核级创新。尽管尚未发布官方博客或技术详解，但版本更新内容与社区活动表明，FlashInfer 正从“性能优化工具”向“稀疏模型基础设施”转型。未来趋势可能聚焦于多实例调度、异构硬件适配与编译器集成，为 LLM 推理栈提供更底层的加速能力。当前动态显示其已成为大模型部署中不可忽视的关键组件。,new
linkedin/Liger-Kernel,Kernels,Assess,1.1676039975442443,LinkedIn 开源的高效 Triton 内核库，专为大模型（LLM）训练优化，支持 Hugging Face Transformers，致力于提升模型训练吞吐量。,在近30天内，Liger-Kernel 项目迎来关键升级，v0.7.0 版本的发布标志着其对 Hugging Face Transformers v5 的全面兼容，极大提升了在主流大模型生态中的集成能力。核心新特性包括对 DeepSeek-NSA 和 TiledMLP 的内核支持，显著增强长序列推理性能与内存效率。多个 PR 与 Issue 显示项目正从“单点优化”转向“架构级扩展”，尤其在模型适配与硬件兼容性方面进展显著。社区已启动 NPU 支持的路线图讨论，预示未来将拓展至国产AI芯片生态。尽管缺乏外部会议或博客宣传，但 GitHub 的高频发布与活跃 PR 说明项目处于高速迭代期，技术影响力持续扩大。v0.6.5 作为过渡版本，为 v0.7.0 的稳定发布提供了保障。整体来看，Liger-Kernel 已从实验性内核库成长为具备企业级兼容能力的高性能推理工具链，未来趋势明确指向多硬件支持与规模化部署优化。,
meta-pytorch/tritonbench,Kernels,Assess,0.7599338102665396,Meta 开发的 PyTorch 与 Triton 性能基准测试工具，用于评估和对比不同硬件与编译器配置下的模型运行效率。,近30天内，meta-pytorch/tritonbench 在稳定性、可扩展性与平台兼容性方面取得显著进展。核心改进聚焦于 CI/CD 流程优化（PR #911、#846）、内核自动调优机制重构（PR #907）及基准测试框架的模块化升级（PR #845、#895），体现出从“功能实现”向“工程健壮性”转型的明确趋势。新增的 Flash Attention 支持与 GEMM TMA 兼容修复，表明项目持续跟进 PyTorch 生态最新算子演进。AMD 平台问题修复强化了异构硬件支持，而 Issue #902 提出的多模式并行需求，预示未来可能引入更复杂的测试调度机制。尽管无新版本发布或外部动态，但密集的高质量 PR 与清晰的架构演进路径，表明项目处于活跃且稳健的开发周期，为高性能内核基准测试提供了坚实基础。整体发展聚焦工程化、自动化与可扩展性，符合开源性能工具链的成熟方向。,
meta-pytorch/tritonparse,Kernels,Assess,0.6107307328089774,Meta 推出的 Triton 内核自动化诊断与分析工具，提供性能追踪、调试与可视化功能，帮助开发者优化 Triton 代码。,在近30天内，meta-pytorch/tritonparse 项目迎来一次重要版本更新 v0.4.1，集中发布了多项核心功能增强，包括动态张量形状解析、稀疏张量元数据提取、多线程并行入口等，显著提升了对 Triton 内核的兼容性与性能。同时修复了多个关键 Bug，如内存泄漏与类型推断错误，增强了稳定性。多个 PR 被快速合并，显示开发活跃度高，社区响应迅速。当前开放的 Issue 主要聚焦于未来扩展，如异构设备支持与新语法兼容，表明项目正逐步向更广泛的应用场景演进。尽管缺乏外部动态（如会议、博客或行业新闻），但内部迭代节奏清晰、目标明确，具备良好的持续演进潜力。建议后续关注 Issue #352 与 #333 的进展，它们可能构成下一阶段 Roadmap 的基础。,
microsoft/triton-shared,Kernels,Assess,0.5788055125880043,微软开发的 Triton 编译器共享中间组件，旨在为不同编译器后端提供通用的中间表示层（目前处于维护调整阶段）。,在近30天内，microsoft/triton-shared 仓库虽无新版本发布，但核心开发活动集中于架构演进与依赖升级。PR #364 和 #363 显示团队正系统性地将项目从自定义 Triton 实现迁移至标准 MLIR 框架，标志着技术路线的重大转向。同时，Issue #353 暴露的持续集成问题成为当前主要运维瓶颈，若不解决将影响后续迭代效率。Issue #368 提供了项目未来方向的公开线索，表明团队有意探索更通用的共享内存抽象，可能为后续支持多后端或异构计算铺路。整体来看，项目处于从“功能维护”向“架构重构”过渡的关键阶段，虽无外部动态或新特性发布，但内部技术决策已清晰指向长期可持续演进路径。建议优先修复构建失败问题，以释放开发产能，加速新架构落地。,
mit-han-lab/Block-Sparse-Attention,Kernels,Assess,0.3069929504082425,MIT Han Lab 开源的块稀疏注意力实现，通过结构化稀疏计算降低长序列推理成本。,近30天内，mit-han-lab/Block-Sparse-Attention 项目活跃度较低，无新版本发布或合并的代码变更，但社区仍保持一定互动。核心动态为 Issue #18 提出的昇腾 NPU 支持请求，显示出项目在国产AI硬件适配方向上的潜在拓展意图，具有明确的 roadmap 意义。PR #17 虽已创建但未合并，表明开发仍在酝酿中。外部虽无官方博客或会议公告，但同期出现的 FASA 论文表明稀疏注意力机制研究持续活跃，可能为本项目提供技术参考。整体来看，项目处于稳定维护期，社区需求正引导其向异构硬件兼容性演进，未来若能响应 NPU 支持诉求，有望增强在国产算力生态中的实用性与影响力。,new
mit-han-lab/flash-moba,Kernels,Assess,0.20537216863003754,MIT Han Lab 的高效注意力内核项目，结合 MoBA 思路优化长上下文模型的速度与显存表现。,在2026年2月5日至3月6日的30天窗口期内，mit-han-lab/flash-moba 仓库未记录任何活动。无新合并的 PR、无新创建或更新的 Issue、无新发布的版本、无符合时间范围的提交记录，也未发现任何官方博客、会议提及或行业新闻动态。该仓库最后一次显著更新为2025年11月的 v2.0.0 版本发布，此后近四个月处于静默状态。这可能表明项目当前处于维护期、功能冻结或团队重心转移，建议关注其官方论文或 MIT Han Lab 的后续公告以获取未来动向。社区活跃度暂时为零，无明显开发或生态扩展迹象。,new
mit-han-lab/x-attention,Kernels,Assess,0.17982082207178865,面向下一代大模型的注意力优化项目，探索更高效的内核实现与长序列计算路径。,在2026年2月3日至3月4日的30天窗口期内，mit-han-lab/x-attention 仓库未发生任何代码提交、PR合并、Issue创建或Release发布等活跃行为，所有内部活动记录均早于该时间范围。外部动态方面，虽有MIT News于2026年2月26日发布一篇关于LLM训练效率提升的报道，但经核查未提及x-attention项目名称或具体技术细节，无法建立直接关联。会议、博客、核心成员发言及行业新闻等渠道亦未发现与该项目相关的有效信息。综合判断，该仓库在本期处于完全静默状态，无实质性进展或社区互动。建议团队关注项目活跃度下降趋势，适时推动文档更新、技术分享或新版本规划，以维持社区关注度与协作动力。,new
modularml/mojo,Kernels,Assess,1.8954861494316297,一种面向 AI 开发者的相关高性能编程语言，结合了 Python 的易用性与 C++ 的性能，旨在统一 AI 与系统编程。,在近30天内，Mojo 项目在语言稳定性、内核架构与 AI 推理性能三方面取得显著进展。核心语言层面，`Stringable` 和 `Representable` 的弃用标志着向更严格类型系统的转型，为 1.0 版本奠定基础；内核架构通过将共享原语上移至顶层包，显著提升复用性与可维护性；MAX 框架新增文本到图像基准测试，强化了其在生成式 AI 领域的工程化能力。同时，社区贡献的多维 GPU 块原语支持和关键 Bug 修复（如 LLVM OOM、String 索引错误）极大提升了系统可靠性。未来趋势清晰指向三大方向：语言层面的类型安全强化（显式导入、Unicode 支持）、GPU 编程能力的深度扩展（同步原语、内核优化）、以及推理架构的统一（KV Cache 与 MLA 调度整合）。尽管缺乏外部媒体报道，但内部开发节奏密集、设计决策明确，表明项目正稳步迈向生产级成熟度，尤其在高性能 AI 框架赛道中展现出独特技术路径。,
openxla/xla,Kernels,Assess,1.5067277455769996,一个用于机器学习的领域特定编译器，通过线性代数优化来加速 TensorFlow、PyTorch 等框架在各类硬件上的模型运行。,在2026年2月5日至3月6日的30天窗口内，openxla/xla 仓库未发布新版本、未合并任何PR，也未创建公开Issue或外部公告。核心活动集中于内部代码提交，主要包含三项关键变更：新增对F64精度的dot/convolution支持，增强驱动版本检查以提升兼容性，以及回滚一项可能导致崩溃的代码清理操作。这些提交表明项目仍在持续优化底层算子支持与运行时稳定性，但缺乏公开的里程碑式进展或社区互动。由于无Release、PR合并或Issue更新，项目当前处于低调维护阶段，可能聚焦于内部重构或测试准备。未来趋势尚不明确，建议关注后续是否出现功能发布或社区提案。,
pytorch/helion,Kernels,Assess,1.2003478784919897,专为 PyTorch 设计的高性能内核开发库，提供自动调优和跨平台支持（包括 XPU），旨在从底层优化 AI 模型的计算效率。,在近30天内，pytorch/helion 项目迎来重要里程碑 v0.3.0 版本发布，核心进展聚焦于架构扩展与稳定性增强。三项关键 PR 分别推动了与 PyTorch 编译器的深度集成、支持 Pallas/TPU 等新硬件后端，并修复了跨后端缓存污染这一潜在系统性缺陷，显著提升了框架的可扩展性与可靠性。外部动态方面，PyTorch 官方博客于 2 月 24 日发布深度技术文章，系统阐释了基于贝叶斯优化的自动调优机制，标志着 Helion 从实验性工具向生产级框架迈进。尽管未见新 Issue 或明确 Roadmap 更新，但代码提交与版本迭代节奏稳定，表明项目正持续聚焦核心性能优化。未来趋势可能围绕更多硬件后端支持与编译器协同优化展开，尤其在 TPU 和异构计算场景中具备明确发展潜力。,
